"","date","ID_RSSD","Name","total_interest_income","total_noninterest_income","total_interest_expense","total_noninterest_expense","chargeoffs","total_loans_and_leases","Assets"
"119",20021231,2816906,"TAUNUS CORP                   ",0.00825860624320325,0.00429197939136791,0.00749647906155848,0.00705524753534309,0.319093025001877,26638000,"  224,372,000"
"120",20021231,3232316,NA,NA,NA,NA,NA,NA,NA,NA
"121",20021231,3242838,NA,NA,NA,NA,NA,NA,NA,NA
"122",20021231,3587146,NA,NA,NA,NA,NA,NA,NA,NA
"123",20021231,3606542,NA,NA,NA,NA,NA,NA,NA,NA
"124",20021231,3846375,NA,NA,NA,NA,NA,NA,NA,NA
"125",20021231,3981856,NA,NA,NA,NA,NA,NA,NA,NA
"126",20021231,4846998,NA,NA,NA,NA,NA,NA,NA,NA
"127",20021231,5006575,NA,NA,NA,NA,NA,NA,NA,NA
"128",20021231,5280254,NA,NA,NA,NA,NA,NA,NA,NA
"129",20030331,1037003,"M&T BK CORP                   ",0.0130236132620252,0.00360222320489923,0.00338266077550837,0.00688127730495625,0.115100785697413,25789572,"   33,443,791"
"130",20030331,1039502,"J P MORGAN CHASE & CO         ",0.00829344191743636,0.00623166815638759,0.00403615056112822,0.00743139007514814,0.370109596909423,215882000,"  755,175,000"
"131",20030331,1068025,"KEYCORP                       ",0.0118428146064776,0.00456878720185386,0.00394613892215021,0.00762768800710997,0.302743332790089,62844654,"   86,178,669"
"132",20030331,1068191,"HUNTINGTON BSHRS              ",0.011463735307627,0.00985669739792474,0.00407281532078391,0.011296658675121,0.207792703748706,19377485,"   27,915,334"
"133",20030331,1069778,"PNC FNCL SVC GROUP            ",0.0100857319269922,0.0108775765567712,0.0027475598183729,0.0123753262530576,0.135955149028748,36969545,"   68,629,625"
"134",20030331,1070345,"FIFTH THIRD BC                ",0.0123433446718613,0.00619245137884877,0.00348673882430052,0.006878319953342,0.164868599857843,50026506,"   84,291,659"
"135",20030331,1073757,"BANK OF AMER CORP             ",0.0111332592881363,0.00566813531146793,0.0037012791185189,0.00694798937868234,0.274121432451632,358965000,"  679,765,000"
"136",20030331,1074156,"BB&T CORP                     ",0.0132442931005454,0.00515628223170758,0.00455381806096809,0.00758094156668808,0.143117175760988,53709137,"   79,647,890"
"137",20030331,1111435,"STATE STREET CORP             ",0.00502516551965063,0.00998682375550626,0.00244322279442262,0.0105462288783294,0,5900864,"   79,109,036"
"138",20030331,1119794,"U S BC                        ",0.0128556612211973,0.00758652479545193,0.00311253299383749,0.00863958382492551,0.326207074190091,120353000,"  182,231,000"
"139",20030331,1132449,"CITIZENS FNCL GROUP           ",0.0111617531364697,0.00237848861688763,0.00344764281745184,0.00604237124082216,0.108229804342666,33531429,"   66,999,690"
"140",20030331,1199611,"NORTHERN TR CORP              ",0.00753423362826624,0.0102356781014656,0.00367437271670301,0.0101595733458759,0.0342875396771583,17668226,"   36,449,759"
"141",20030331,1245415,"BANKMONT FC                   ",0.00846826127832294,0.00423561998458031,0.00270206452278094,0.00789465426113352,0.165588069375449,18059876,"   38,271,847"
"142",20030331,1275216,NA,NA,NA,NA,NA,NA,NA,NA
"143",20030331,1378434,"UNIONBANCAL CORP              ",0.0110578071983088,0.00462857830092719,0.00128645491045366,0.008516121530346,0.224079860843691,26552587,"   40,385,403"
"144",20030331,1562859,NA,NA,NA,NA,NA,NA,NA,NA
"145",20030331,1574834,NA,NA,NA,NA,NA,NA,NA,NA
"146",20030331,1575569,NA,NA,NA,NA,NA,NA,NA,NA
"147",20030331,1951350,"CITIGROUP                     ",0.0126168343487488,0.00761231797061144,0.00405814386093601,0.00917787845445758,0.523058146630634,470311000,"1,136,973,000"
"148",20030331,2162966,NA,NA,NA,NA,NA,NA,NA,NA
"149",20030331,2277860,NA,NA,NA,NA,NA,NA,NA,NA
"150",20030331,2380443,NA,NA,NA,NA,NA,NA,NA,NA
"151",20030331,2816906,"TAUNUS CORP                   ",0.00668973187718801,0.0043421695251932,0.00568422003061681,0.00548311766130257,1.03827115779307,16566000,"  243,657,000"
"152",20030331,3232316,NA,NA,NA,NA,NA,NA,NA,NA
"153",20030331,3242838,NA,NA,NA,NA,NA,NA,NA,NA
"154",20030331,3587146,NA,NA,NA,NA,NA,NA,NA,NA
"155",20030331,3606542,NA,NA,NA,NA,NA,NA,NA,NA
"156",20030331,3846375,NA,NA,NA,NA,NA,NA,NA,NA
"157",20030331,3981856,NA,NA,NA,NA,NA,NA,NA,NA
"158",20030331,4846998,NA,NA,NA,NA,NA,NA,NA,NA
"159",20030331,5006575,NA,NA,NA,NA,NA,NA,NA,NA
"160",20030331,5280254,NA,NA,NA,NA,NA,NA,NA,NA
